target,solutions,rank,rating,dictionaryName,due,level
abismo,abyss,492,1200,personal,20 Mar 2024,8
o assombro,the astonishment,493,1200,personal,25 Nov 2023,5
cajado,staff,494,1200,personal,28 Mar 2024,8
arrastou,dragged,495,1200,personal,28 Mar 2024,8
matagal,scrub,496,1200,personal,23 Jan 2024,7
checou,checked,497,1200,personal,20 Mar 2024,8
agarrar,to grab; grab,498,1200,personal,21 Dec 2023,7
afogando,drowning,499,1200,personal,21 Jan 2024,7
rosnou,growled,500,1200,personal,9 Dec 2023,7
raster,to rip; rip,501,1200,personal,25 Nov 2023,6
apressados,hasty,502,1200,personal,28 Mar 2024,8
camundongos,mice,503,1200,personal,28 Nov 2023,4
javali,boar,504,1200,personal,20 Mar 2024,8
trançando,braiding,505,1200,personal,20 Mar 2024,8
tronco,stem,506,1200,personal,28 Mar 2024,8
detida,detained,507,1200,personal,20 Mar 2024,8
estonteante,stunning,508,1200,personal,28 Mar 2024,8
aperto,tight,509,1200,personal,21 Dec 2023,7
escuridão,darkness,510,1200,personal,23 Jan 2024,7
fulminante,fulminant,511,1200,personal,28 Mar 2024,8
vacilou,hesitated,512,1200,personal,24 Nov 2023,7
envolveu,involved,513,1200,personal,28 Mar 2024,8
palpável,palpable,514,1200,personal,28 Mar 2024,8
fenda,slit,515,1200,personal,28 Mar 2024,8
cambelou,curled,516,1200,personal,25 Dec 2023,7
sussur,to whisper; whisper,517,1200,personal,28 Mar 2024,8
cego,blind,518,1200,personal,28 Mar 2024,8
balançar,to swing; swing,519,1200,personal,28 Mar 2024,8
selo,stamp,520,1200,personal,28 Mar 2024,8
cascalho,gravel,521,1200,personal,27 Nov 2023,6
espalhados,scattered,522,1200,personal,28 Mar 2024,8
rachadura,crack,523,1200,personal,23 Nov 2023,6
lajes,slabs,524,1200,personal,28 Mar 2024,8
blindada,armored,525,1200,personal,27 Nov 2023,6
disparou,shot,526,1200,personal,28 Mar 2024,8
esteira,belt,527,1200,personal,28 Mar 2024,8
esfregando,rubbing,528,1200,personal,28 Mar 2024,8
cervos,deer,529,1200,personal,28 Mar 2024,8
disfarçar,to disguise; disguise,530,1200,personal,28 Mar 2024,8
lama,mud,531,1200,personal,21 Dec 2023,7
esparsa,sparse,532,1200,personal,12 Dec 2023,6
trapos,rags,533,1200,personal,23 Jan 2024,7
almíscar,musk,534,1200,personal,23 Jan 2024,7
espessa,thick,535,1200,personal,23 Jan 2024,7
dobra,fold,536,1200,personal,23 Nov 2023,2
penhasco,cliff,537,1200,personal,22 Nov 2023,1
amedrontados,frightened,538,1200,personal,27 Nov 2023,6
galhos,branches,539,1200,personal,21 Dec 2023,7
se remexer,to rummage; rummage,540,1200,personal,28 Mar 2024,8
entretendo,entertaining,541,1200,personal,21 Dec 2023,7
parcimônia,parsimony,542,1200,personal,28 Mar 2024,8
pingava,drip,543,1200,personal,22 Nov 2023,1
suor,sweat,544,1200,personal,23 Jan 2024,7
afloramentos,outcrop,545,1200,personal,22 Nov 2023,1
encolhido,shrunken,546,1200,personal,28 Mar 2024,8
aglomerado,cluster,547,1200,personal,28 Mar 2024,8
sulcos,grooves,548,1200,personal,28 Mar 2024,8
protuberâncias,protuberances,549,1200,personal,28 Nov 2023,7
arbustos,shrubs,550,1200,personal,28 Mar 2024,8
desfrutar,to enjoy; enjoy,551,1200,personal,28 Mar 2024,8
musgo,moss,552,1200,personal,23 Jan 2024,7
barranco,ravine,553,1200,personal,28 Mar 2024,8
pálpebra,eyelid,554,1200,personal,28 Mar 2024,8
golpe,blow,555,1200,personal,28 Mar 2024,8
fracasso,failure,556,1200,personal,27 Nov 2023,7
agindo,acting,557,1200,personal,28 Mar 2024,8
empolgação,excitement,558,1200,personal,23 Jan 2024,7
afiar,to sharpen; sharpen,559,1200,personal,28 Mar 2024,8
tiras,strips,560,1200,personal,28 Nov 2023,7
unguento,ointment,561,1200,personal,28 Mar 2024,8
ameno,pleasant,562,1200,personal,26 Nov 2023,7
derreter,to melt; melt,563,1200,personal,23 Jan 2024,7
distintivos,distinctive,564,1200,personal,28 Mar 2024,8
sarassem,go out,565,1200,personal,23 Jan 2024,7
espancado,beaten,566,1200,personal,28 Mar 2024,8
devorador,devourer,567,1200,personal,28 Mar 2024,8
santuário,shrine,568,1200,personal,22 Nov 2023,1
aguçados,acute,569,1200,personal,12 Dec 2023,6
razoável,reasonable,570,1200,personal,21 Dec 2023,7
ameaça,threat,571,1200,personal,28 Mar 2024,8
uma toca,a burrow,572,1200,personal,23 Jan 2024,7
esmagados,crushed,573,1200,personal,28 Mar 2024,8
farejar,to sniff; sniff,574,1200,personal,28 Mar 2024,8
desgastados,worn out,575,1200,personal,28 Mar 2024,8
barraca,tent,576,1200,personal,1 Dec 2023,7
agachada,squat,577,1200,personal,28 Mar 2024,8
calafrio,chill,578,1200,personal,28 Mar 2024,8
façanha,feat,579,1200,personal,21 Jan 2024,7
cumes,peaks,580,1200,personal,15 Jan 2024,7
subidas íngremes,steep climbs,581,1200,personal,28 Mar 2024,8
portanto,therefore,582,1200,personal,12 Dec 2023,6
caçadas,hunted,583,1200,personal,21 Dec 2023,7
túmulo de brasas,embers,584,1200,personal,22 Nov 2023,1
alheio,alien,585,1200,personal,28 Mar 2024,8
tolo,fool,586,1200,personal,28 Mar 2024,8
escancarou,opened wide,587,1200,personal,2 Dec 2023,5
odiado,hated,588,1200,personal,28 Mar 2024,8
suavizassem,soften,589,1200,personal,24 Jan 2024,7
ameaçado,threatened,590,1200,personal,20 Feb 2024,8
nojento,disgusting,591,1200,personal,28 Mar 2024,8
retorcida,twisted,592,1200,personal,28 Mar 2024,8
pira,pyre,593,1200,personal,28 Mar 2024,8
vascular,vascular,594,1200,personal,20 Feb 2024,8
fuligem,soot,595,1200,personal,20 Jan 2024,7
palha,straw,596,1200,personal,21 Dec 2023,7
danos,damage,597,1200,personal,21 Dec 2023,7
aldeia,village,598,1200,personal,22 Feb 2024,8
covarde,coward,599,1200,personal,21 Feb 2024,8
corrigi-lo,correct it,600,1200,personal,2 Dec 2023,7
incomodar,to bother; bother,601,1200,personal,21 Dec 2023,7
restos,remains,602,1200,personal,22 Feb 2024,8
depressa,quickly,603,1200,personal,22 Feb 2024,8
agir,to act; act,604,1200,personal,22 Feb 2024,8
afiaram as laminas,sharpened the blades,605,1200,personal,22 Feb 2024,8
corniso,dogwood,606,1200,personal,21 Dec 2023,7
mudas,seedlings,607,1200,personal,21 Jan 2024,7
escultor,sculptor,608,1200,personal,21 Dec 2023,7
reuniram,gathered,609,1200,personal,28 Mar 2024,8
propósito,purpose,610,1200,personal,28 Mar 2024,8
juramento,oath,611,1200,personal,21 Dec 2023,7
rabo,tail,612,1200,personal,28 Mar 2024,8
enfio,I stick,613,1200,personal,28 Mar 2024,8
crepúsculo,twilight,614,1200,personal,22 Nov 2023,1
labaredas,flames,615,1200,personal,25 Nov 2023,7
retorcidas,twisted,616,1200,personal,22 Feb 2024,8
fileiras,rows,617,1200,personal,25 Nov 2023,5
incêndios,fires,618,1200,personal,28 Mar 2024,8
rebanhos,herds,619,1200,personal,21 Dec 2023,7
bênção,blessing,620,1200,personal,22 Feb 2024,8
porém,although,621,1200,personal,22 Feb 2024,8
brotaram,sprouted,622,1200,personal,28 Mar 2024,8
azulado,bluish,623,1200,personal,22 Feb 2024,8
alcançar,to reach; reach,624,1200,personal,22 Feb 2024,8
ranger os dentes,to grind the teeth; grind the teeth,625,1200,personal,22 Feb 2024,8
sacudir,to shake; shake,626,1200,personal,21 Dec 2023,7
estrondosa,loud,627,1200,personal,15 Jan 2024,7
gargalhada,laugh,628,1200,personal,25 Nov 2023,5
membros,members,629,1200,personal,22 Feb 2024,8
percorrer,to go through; go through,630,1200,personal,25 Nov 2023,5
calafrios,chills,631,1200,personal,22 Feb 2024,8
arado,plow,632,1200,personal,17 Jan 2024,7
destemido,fearless,633,1200,personal,21 Dec 2023,7
desafios,challenges,634,1200,personal,22 Feb 2024,8
porrete,club,635,1200,personal,21 Dec 2023,7
rondando,surrounding,636,1200,personal,28 Mar 2024,8
faminto,hungry,637,1200,personal,22 Feb 2024,8
leveza,lightness,638,1200,personal,21 Dec 2023,7
alívio,relief,639,1200,personal,28 Mar 2024,8
uivo,howl,640,1200,personal,22 Dec 2023,7
esmagou,crushed,641,1200,personal,21 Dec 2023,7
perecer,to perish; perish,642,1200,personal,23 Jan 2024,7
poupado,spared,643,1200,personal,21 Dec 2023,7
gado,cattle,644,1200,personal,25 Feb 2024,8
alcance,range,645,1200,personal,28 Mar 2024,8
aborrecer,to bore; bore,646,1200,personal,25 Feb 2024,8
capazes,capable,647,1200,personal,25 Feb 2024,8
lâmina,blade,648,1200,personal,25 Feb 2024,8
pisoteava,trampled,649,1200,personal,5 Dec 2023,7
machado,ax,650,1200,personal,25 Nov 2023,5
lança,spear,651,1200,personal,25 Feb 2024,8
arco,arc,652,1200,personal,25 Feb 2024,8
dentada,bite,653,1200,personal,25 Feb 2024,8
cauda,tail,654,1200,personal,22 Dec 2023,7
varredura,scanning,655,1200,personal,27 Nov 2023,4
colinas,hills,656,1200,personal,22 Dec 2023,7
polido,polished,657,1200,personal,22 Dec 2023,7
osso,bone,658,1200,personal,25 Feb 2024,8
congeladas,frozen,659,1200,personal,25 Feb 2024,8
covil,lair,660,1200,personal,28 Mar 2024,8
riacho,stream,661,1200,personal,25 Nov 2023,5
pousava,landed,662,1200,personal,28 Mar 2024,8
veludo,velvet,663,1200,personal,22 Dec 2023,7
o vale,the valley,664,1200,personal,25 Feb 2024,8
sobrevoou,fell,665,1200,personal,22 Jan 2024,7
verme,worm,666,1200,personal,25 Feb 2024,8
aspereza,harshness,667,1200,personal,7 Dec 2023,7
retumbante,resentful,668,1200,personal,23 Jan 2024,7
enrolação,winding up,669,1200,personal,23 Jan 2024,7
couro,leather,670,1200,personal,25 Feb 2024,8
aposentos,rooms,671,1200,personal,12 Dec 2023,6
tambor,drum,672,1200,personal,22 Dec 2023,7
encolheu,shrunk,673,1200,personal,21 Dec 2023,7
chifres,horns,674,1200,personal,25 Feb 2024,8
ricochetear,to ricochete; ricochete,675,1200,personal,26 Feb 2024,8
uma presa,a fang,676,1200,personal,29 Nov 2023,7
fígado,liver,677,1200,personal,28 Mar 2024,8
grosseiro,coarse,678,1200,personal,23 Jan 2024,7
manto,cloak,679,1200,personal,26 Feb 2024,8
dignigar,to dignify; dignify,680,1200,personal,26 Feb 2024,8
nuas,nude,681,1200,personal,28 Mar 2024,8
tranças,braids,682,1200,personal,26 Feb 2024,8
compridos,long,683,1200,personal,12 Dec 2023,6
canto,corner,684,1200,personal,26 Feb 2024,8
permanecer,to stay; stay; to remain; remain,685,1200,personal,25 Nov 2023,5
brinde,gift,686,1200,personal,24 Jan 2024,7
reunidos,together,687,1200,personal,22 Nov 2023,1
atraído,attracted,688,1200,personal,26 Feb 2024,8
enlutados,mourned,689,1200,personal,27 Nov 2023,4
cumpriu,fulfilled,690,1200,personal,26 Feb 2024,8
aspecto,aspect,691,1200,personal,6 Dec 2023,7
raciocínio,reasoning,692,1200,personal,28 Mar 2024,8
desalinhado,misaligned,693,1200,personal,15 Jan 2024,7
sombrio,gloomy; dark,694,1200,personal,25 Nov 2023,7
desabamentos,landslides,695,1200,personal,23 Nov 2023,7
endireitar,to straighten; straighten,696,1200,personal,24 Dec 2023,7
borrão,blur,697,1200,personal,23 Jan 2024,7
espantosa,amazing,698,1200,personal,27 Nov 2023,7
rolar,to roll; roll,699,1200,personal,22 Nov 2023,7
piada,joke,700,1200,personal,22 Nov 2023,7
súbita,sudden,701,1200,personal,25 Dec 2023,7
conter,to contain; contain,702,1200,personal,24 Nov 2023,4
piscando,blinking,703,1200,personal,22 Nov 2023,7
abatidos,slaughtered,704,1200,personal,22 Nov 2023,7
puxar,to pull; pull,705,1200,personal,27 Feb 2024,8
gemeram,moaned,706,1200,personal,25 Nov 2023,5
forjado,wrought,707,1200,personal,22 Nov 2023,7
rodeavam,surrounded,708,1200,personal,23 Nov 2023,7
amassados,mashed,709,1200,personal,24 Jan 2024,7
jaziam,lay; lay down,710,1200,personal,30 Jun 2024,9
encerrou,ended,711,1200,personal,21 Dec 2023,7
cobertura,roof,712,1200,personal,24 Jan 2024,7
chamuscar,to scorch; scorch,713,1200,personal,22 Nov 2023,7
arderar,to burn; burn,714,1200,personal,27 Feb 2024,8
tossiu,cough,715,1200,personal,22 Nov 2023,7
desmaiado,passed out,716,1200,personal,24 Dec 2023,7
estridentes,strident,717,1200,personal,27 Feb 2024,8
rangidos,creaks,718,1200,personal,23 Nov 2023,7
ousou,dared,719,1200,personal,22 Nov 2023,7
vela,candle,720,1200,personal,27 Feb 2024,8
vacilante,wavering,721,1200,personal,30 Nov 2023,7
muro,wall,722,1200,personal,27 Feb 2024,8
encostou,touched,723,1200,personal,22 Nov 2023,1
assentar,to settle; settle,724,1200,personal,22 Nov 2023,6
placa,plate,725,1200,personal,25 Nov 2023,5
flecha,arrow,726,1200,personal,28 Feb 2024,8
retas,straight,727,1200,personal,22 Nov 2023,6
fendas,slits,728,1200,personal,25 Dec 2023,7
estreita,narrow,729,1200,personal,28 Feb 2024,8
laje,slab,730,1200,personal,28 Feb 2024,8
enterrados,burried,731,1200,personal,28 Feb 2024,8
resgatar,to rescue; rescue,732,1200,personal,22 Nov 2023,6
escombros,rubble,733,1200,personal,27 Nov 2023,6
cavando,digging,734,1200,personal,23 Nov 2023,7
instável,unstable,735,1200,personal,28 Feb 2024,8
desmoronado,collapsed,736,1200,personal,12 Dec 2023,6
trecho,snippet,737,1200,personal,12 Dec 2023,6
coro,choir,738,1200,personal,22 Nov 2023,6
se acumulavam,accumulated,739,1200,personal,28 Feb 2024,8
brotar,to sprout; sprout,740,1200,personal,28 Feb 2024,8
erguer,to lift; lift,741,1200,personal,22 Nov 2023,6
o cervo,the deer,742,1200,personal,28 Feb 2024,8
águia,eagle,743,1200,personal,23 Nov 2023,7
surpreendido,surprised,744,1200,personal,28 Feb 2024,8
almas,souls,745,1200,personal,28 Feb 2024,8
cofre,vault,746,1200,personal,28 Feb 2024,8
alados,winged,747,1200,personal,23 Nov 2023,7
perturbar,to disturb; disturb,748,1200,personal,28 Feb 2024,8
humilhante,humiliating,749,1200,personal,25 Dec 2023,7
diante,against,750,1200,personal,25 Nov 2023,5
dourada,gold,751,1200,personal,21 Dec 2023,7
arco-íris,rainbow,752,1200,personal,28 Feb 2024,8
estreitas,narrow,753,1200,personal,28 Feb 2024,8
perfurando,piercing,754,1200,personal,25 Nov 2023,5
estrado,platform,755,1200,personal,25 Nov 2023,5
chicotadas,lashes,756,1200,personal,24 Dec 2023,7
as profundezas,the depths,757,1200,personal,28 Feb 2024,8
armazenado,stored,758,1200,personal,28 Feb 2024,8
escravizados,enslaved,759,1200,personal,28 Feb 2024,8
empilhados,stacked,760,1200,personal,28 Feb 2024,8
picaretas,pickaxes,761,1200,personal,25 Nov 2023,5
feitiços,spells,762,1200,personal,28 Feb 2024,8
lateral,side,763,1200,personal,28 Feb 2024,8
subir,to climb up; climb up,764,1200,personal,6 Dec 2023,5
impulsionado,driven,765,1200,personal,23 Nov 2023,7
reprovação,reproach,766,1200,personal,25 Nov 2023,7
meta,goal,767,1200,personal,23 Nov 2023,7
cumprir,to fulfill; fulfill,768,1200,personal,28 Feb 2024,8
anterior,previous,769,1200,personal,28 Feb 2024,8
barris,barrels,770,1200,personal,23 Nov 2023,7
salão,hall,771,1200,personal,28 Feb 2024,8
aceno,nod,772,1200,personal,28 Feb 2024,8
cumprimentar,to greet; greet,773,1200,personal,28 Feb 2024,8
fogeira,fire,774,1200,personal,23 Nov 2023,7
tenda,tent,775,1200,personal,29 Feb 2024,8
corda,rope,776,1200,personal,29 Feb 2024,8
punhado,handful,777,1200,personal,9 Dec 2023,7
chamas,flames,778,1200,personal,29 Feb 2024,8
dezenas,dozens,779,1200,personal,29 Feb 2024,8
lareiras,fireplaces,780,1200,personal,29 Feb 2024,8
tapetes,rugs,781,1200,personal,24 Nov 2023,7
pendurado,hanging,782,1200,personal,29 Feb 2024,8
tapeçarias,tapestries,783,1200,personal,29 Feb 2024,8
estandartes,banners,784,1200,personal,29 Feb 2024,8
decorar,to decorate; decorate,785,1200,personal,20 Jan 2024,7
amigável,friendly,786,1200,personal,29 Feb 2024,8
sendo,being,787,1200,personal,29 Feb 2024,8
alojamentos,accomodation,788,1200,personal,29 Feb 2024,8
degraus,steps,789,1200,personal,29 Feb 2024,8
mundano,mundane,790,1200,personal,29 Feb 2024,8
lidar,to deal; deal,791,1200,personal,29 Feb 2024,8
queixar,to complain; complain,792,1200,personal,23 Nov 2023,6
valia,worth,793,1200,personal,29 Feb 2024,8
ciente,aware,794,1200,personal,29 Feb 2024,8
aborrecido,bored,795,1200,personal,29 Feb 2024,8
afastar,to put away; put away,796,1200,personal,29 Feb 2024,8
focinho,snout,797,1200,personal,29 Feb 2024,8
diversão,fun,798,1200,personal,15 Jan 2024,7
traço,feature,799,1200,personal,23 Nov 2023,6
engolir,to swallow; swallow,800,1200,personal,29 Feb 2024,8
empurrar,to push; push,801,1200,personal,29 Feb 2024,8
irromper,to errupt; errupt,802,1200,personal,29 Feb 2024,8
lábios,lips,803,1200,personal,29 Feb 2024,8
rugido,roar,804,1200,personal,29 Feb 2024,8
soprar,to blow; blow,805,1200,personal,20 Jan 2024,7
derramar,to spill; spill,806,1200,personal,2 Dec 2023,6
frasco,bottle,807,1200,personal,29 Feb 2024,8
se craver,to nail; nail,808,1200,personal,29 Feb 2024,8
prender,to trap; trap,809,1200,personal,27 Nov 2023,4
esquentar,to heat; heat,810,1200,personal,24 Nov 2023,7
pouser,to put down; put down,811,1200,personal,24 Nov 2023,7
reluzentes,gleaming,812,1200,personal,25 Nov 2023,7
garras,claws,813,1200,personal,1 Mar 2024,8
deslumbrante,stunning,814,1200,personal,1 Mar 2024,8
girar,to turn; turn,815,1200,personal,1 Mar 2024,8
manchas,stains,816,1200,personal,1 Mar 2024,8
asas,wings,817,1200,personal,1 Mar 2024,8
acolchoado,padded,818,1200,personal,1 Mar 2024,8
remexer,to rummage; rummage,819,1200,personal,1 Mar 2024,8
câmara,chamber,820,1200,personal,1 Mar 2024,8
uma pena,a feather,821,1200,personal,25 Nov 2023,7
empertigou,straightened,822,1200,personal,2 Dec 2023,7
solter,to release; release,823,1200,personal,1 Mar 2024,8
relâmpago,lightning,824,1200,personal,15 Jan 2024,7
maldições,curses,825,1200,personal,1 Mar 2024,8
vinco,crease,826,1200,personal,28 Nov 2023,7
espada,sword,827,1200,personal,1 Mar 2024,8
empolgante,exciting,828,1200,personal,1 Mar 2024,8
estressante,stressful,829,1200,personal,1 Mar 2024,8
cansaço,tiredness,830,1200,personal,1 Mar 2024,8
embaçada,fogged up,831,1200,personal,1 Mar 2024,8
grado,degree,832,1200,personal,1 Mar 2024,8
franziu a testa,frowned,833,1200,personal,1 Mar 2024,8
furos,holes,834,1200,personal,1 Mar 2024,8
abrigo,shelter,835,1200,personal,1 Mar 2024,8
inclinaçao,slope,836,1200,personal,1 Mar 2024,8
leve,light,837,1200,personal,1 Mar 2024,8
assentamento,settlement,838,1200,personal,1 Mar 2024,8
se tornado,become,839,1200,personal,1 Mar 2024,8
houvera,there had been,840,1200,personal,1 Mar 2024,8
atendidos,attended,841,1200,personal,1 Mar 2024,8
devido,due,842,1200,personal,1 Mar 2024,8
comerciantes,merchants,843,1200,personal,1 Mar 2024,8
porco-espinho,porcupine,844,1200,personal,1 Mar 2024,8
aleatoria,random,845,1200,personal,1 Mar 2024,8
pois,since,846,1200,personal,1 Mar 2024,8
clã,clan,847,1200,personal,1 Mar 2024,8
gemas,gems,848,1200,personal,1 Mar 2024,8
sob,under,849,1200,personal,25 Nov 2023,7
estabelecer,to establish; establish,850,1200,personal,1 Mar 2024,8
liderada,lead,851,1200,personal,1 Mar 2024,8
verdejantes,verdent,852,1200,personal,1 Mar 2024,8
surpreendente,surprising,853,1200,personal,1 Mar 2024,8
pico,peak,854,1200,personal,1 Mar 2024,8
terços,thirds,855,1200,personal,1 Mar 2024,8
de fato,in fact,856,1200,personal,1 Mar 2024,8
cauteloso,cautious,857,1200,personal,1 Mar 2024,8
selvagens,wild,858,1200,personal,1 Mar 2024,8
errantes,wandering,859,1200,personal,1 Mar 2024,8
plano,flat,860,1200,personal,25 Nov 2023,7
escarpas,cliffs,861,1200,personal,1 Mar 2024,8
escamas,scales,862,1200,personal,1 Mar 2024,8
cintilavar,to twinkle; twinkle,863,1200,personal,1 Mar 2024,8
prateadas,silvery,864,1200,personal,1 Mar 2024,8
ondulada,undulating,865,1200,personal,1 Mar 2024,8
amarrotada,crumpled,866,1200,personal,1 Mar 2024,8
lenta,slow,867,1200,personal,1 Mar 2024,8
cordilheira,mountain range,868,1200,personal,25 Nov 2023,7
resquício,remnant,869,1200,personal,1 Mar 2024,8
pedregosas,rocky,870,1200,personal,1 Mar 2024,8
laterais,sides,871,1200,personal,1 Mar 2024,8
cume,ridge,872,1200,personal,1 Mar 2024,8
sopé,foot,873,1200,personal,1 Mar 2024,8
ao redor,around,874,1200,personal,1 Mar 2024,8
trilha,trail,875,1200,personal,1 Mar 2024,8
navios,ships,876,1200,personal,1 Mar 2024,8
paisagem,landscape,877,1200,personal,1 Mar 2024,8
prata,silver,878,1200,personal,1 Mar 2024,8
fita,ribbon,879,1200,personal,1 Mar 2024,8
cercando,surrounding,880,1200,personal,1 Mar 2024,8
varridas,swept,881,1200,personal,1 Mar 2024,8
planícies,plains,882,1200,personal,1 Mar 2024,8
raios,rays,883,1200,personal,1 Mar 2024,8
deprimente,depressing,884,1200,personal,1 Mar 2024,8
suspir,to sigh; sigh,885,1200,personal,25 Nov 2023,6
cobriar,to cover; cover,886,1200,personal,1 Mar 2024,8
soltos,loose,887,1200,personal,1 Mar 2024,8
pergaminhos,parchments,888,1200,personal,1 Mar 2024,8
pilhas,stacks,889,1200,personal,1 Mar 2024,8
suprimentos,supplements,890,1200,personal,1 Mar 2024,8
entregar,to deliver; deliver,891,1200,personal,1 Mar 2024,8
alegar,to claim; claim,892,1200,personal,1 Mar 2024,8
laços,ties,893,1200,personal,1 Mar 2024,8
fortalecer,to strengthen; strengthen,894,1200,personal,1 Mar 2024,8
anões,dwarves,895,1200,personal,1 Mar 2024,8
pontada,twinge,896,1200,personal,1 Mar 2024,8
colhender,to collect; collect,897,1200,personal,1 Mar 2024,8
garganta,throat,898,1200,personal,2 Dec 2023,5
adocicar,to sweeten; sweeten,899,1200,personal,1 Mar 2024,8
hidromel,mead,900,1200,personal,1 Mar 2024,8
gole,sip,901,1200,personal,1 Mar 2024,8
recostar,to lean back; lean back,902,1200,personal,1 Mar 2024,8
apanhar,to catch; catch,903,1200,personal,29 Nov 2023,6
cochilando,napping,904,1200,personal,25 Nov 2023,7
provas,evidence,905,1200,personal,26 Nov 2023,7
cachimbo,smoking pipe,906,1200,personal,15 Jan 2024,7
colo,lap,907,1200,personal,21 Dec 2023,7
desgastada,outdated,908,1200,personal,30 Nov 2023,7
mito,myth,909,1200,personal,26 Nov 2023,7
torno,lathe,910,1200,personal,27 Nov 2023,7
envelhecer,to age; age,911,1200,personal,2 Mar 2024,8
maduro,mature,912,1200,personal,2 Mar 2024,8
agregando,adding,913,1200,personal,27 Nov 2023,7
fragmentados,fragmented,914,1200,personal,2 Mar 2024,8
marasmo,doldrums,915,1200,personal,26 Nov 2023,7
correios,mail,916,1200,personal,26 Nov 2023,7
fortuito,fortuitous,917,1200,personal,2 Mar 2024,8
fornece,provides,918,1200,personal,2 Mar 2024,8
pulmão,lung,919,1200,personal,26 Nov 2023,7
entediados,bored,920,1200,personal,21 Dec 2023,7
vacilando,wavering,921,1200,personal,2 Mar 2024,8
incessante,incessant,922,1200,personal,2 Mar 2024,8
domínios,domains,923,1200,personal,2 Mar 2024,8
intervalo,break,924,1200,personal,2 Mar 2024,8
repartido,divided,925,1200,personal,25 Nov 2023,5
rotulados,labeled,926,1200,personal,17 Jan 2024,7
malandros,rascals,927,1200,personal,2 Mar 2024,8
aos poucos,slowly,928,1200,personal,25 Nov 2023,5
privação,deprivation,929,1200,personal,2 Mar 2024,8
ensacada,bagged,930,1200,personal,2 Mar 2024,8
torrar,to toast; toast,931,1200,personal,2 Dec 2023,5
paletó,coat,932,1200,personal,27 Nov 2023,7
grife,designer label,933,1200,personal,26 Nov 2023,7
quicar,to bounce; bounce,934,1200,personal,2 Mar 2024,8
quantia,quantity,935,1200,personal,2 Mar 2024,8
às cegas,blindly,936,1200,personal,2 Mar 2024,8
armado,armed,937,1200,personal,21 Dec 2023,7
prestes,about to,938,1200,personal,29 Nov 2023,6
segundo dizem,that's what they say,939,1200,personal,15 Jan 2024,7
atualizada,updated,940,1200,personal,27 Nov 2023,7
varejistas,retailers,941,1200,personal,27 Nov 2023,7
tecido,tissue,942,1200,personal,3 Mar 2024,8
atraente,attractive,943,1200,personal,27 Nov 2023,7
impeça,prevent,944,1200,personal,12 Dec 2023,6
corrida,race,945,1200,personal,30 Nov 2023,7
letras miúdas,fine print,946,1200,personal,27 Nov 2023,7
zagueiro,defender,947,1200,personal,27 Nov 2023,7
chuteiras,football boots,948,1200,personal,27 Nov 2023,7
cirurgia,surgery,949,1200,personal,3 Mar 2024,8
derradeiro,ultimate,950,1200,personal,3 Mar 2024,8
reconhecimento,recognition,951,1200,personal,27 Nov 2023,7
perfis,profiles,952,1200,personal,3 Mar 2024,8
quadris,hips,953,1200,personal,3 Mar 2024,8
de bruços,face down,954,1200,personal,27 Nov 2023,7
confundir,to confuse; confuse,955,1200,personal,3 Mar 2024,8
supina,supine,956,1200,personal,3 Mar 2024,8
dobrados,bent,957,1200,personal,2 Dec 2023,5
traseiro,rear,958,1200,personal,20 Jan 2024,7
mochila,schoolbag,959,1200,personal,15 Jan 2024,7
bens,assets,960,1200,personal,27 Nov 2023,7
metidos,stuck up,961,1200,personal,3 Mar 2024,8
agachamento,squat,962,1200,personal,15 Jan 2024,7
articulações,joints,963,1200,personal,27 Nov 2023,6
nítido,clear,964,1200,personal,21 Jan 2024,7
mole,soft,965,1200,personal,21 Jan 2024,7
dispendiosa,expensive,966,1200,personal,15 Jan 2024,7
calçar,to put on; put on,967,1200,personal,30 Nov 2023,7
palmilhas,insoles,968,1200,personal,21 Dec 2023,7
travasseiro de pena,feather pillow,969,1200,personal,4 Mar 2024,8
recheado,stuffed,970,1200,personal,21 Jan 2024,7
recheios,fillings,971,1200,personal,15 Jan 2024,7
fronha,pillowcase,972,1200,personal,29 Nov 2023,7
esmurrar,to punch; punch,973,1200,personal,29 Nov 2023,6
vantagem,advantage,974,1200,personal,4 Mar 2024,8
decadente,decadent,975,1200,personal,4 Mar 2024,8
ostensiva,ostentatious,976,1200,personal,15 Jan 2024,7
ranheta,snotty,977,1200,personal,30 Nov 2023,7
coerência,coherence,978,1200,personal,4 Mar 2024,8
trajes,costumes,979,1200,personal,29 Nov 2023,6
portátil,portable,980,1200,personal,4 Mar 2024,8
corredor,runner,981,1200,personal,4 Mar 2024,8
envolvido,involved,982,1200,personal,4 Mar 2024,8
abrigado,sheltered,983,1200,personal,4 Mar 2024,8
projetada,designed,984,1200,personal,29 Nov 2023,7
no selim,in the saddle,985,1200,personal,30 Nov 2023,7
a turma,the class,986,1200,personal,1 Dec 2023,7
norteiam,guide,987,1200,personal,30 Nov 2023,7
apegar,to attach; attach,988,1200,personal,2 Dec 2023,6
ácaros,mites,989,1200,personal,5 Dec 2023,7
recurso,resource,990,1200,personal,29 Nov 2023,7
sob medida,under measure,991,1200,personal,6 Mar 2024,8
apelando,appealing,992,1200,personal,6 Mar 2024,8
montar,to assemble; assemble,993,1200,personal,25 Nov 2023,5
após,after,994,1200,personal,6 Mar 2024,8
